V,Tipo dato 1,Tiempo1(ms),V2,Tipo dato 2,Tiempo 2 (ms),V3,Tipo dato 3,Tiempo 3 (ms),,,,,,
Concurrente,CifrarRSA,0.0551,Concurrente,CifrarRSA,0.0672,Concurrente,CifrarRSA,0.0526,,,,,,
Concurrente,CifrarRSA,0.0483,Concurrente,CifrarRSA,0.0636,Concurrente,CifrarRSA,0.0526,,,,,,
Concurrente,CifrarRSA,0.0533,Concurrente,CifrarRSA,0.0588,Concurrente,VerificarHMAC,0.0327,,,,,,
Concurrente,CifrarRSA,0.0482,Concurrente,CifrarRSA,0.0564,Concurrente,CifrarRSA,0.0512,,,,,,
Concurrente,CifrarRSA,0.0515,Concurrente,CifrarRSA,0.0568,Concurrente,VerificarHMAC,0.0295,,,,,,
Concurrente,CifrarRSA,0.1186,Concurrente,CifrarRSA,0.0871,Concurrente,CifrarRSA,0.0759,,,,,,
Concurrente,CifrarRSA,0.0603,Concurrente,CifrarRSA,0.072,Concurrente,CifrarRSA,0.0531,,,,,,
Concurrente,CifrarRSA,0.1352,Concurrente,CifrarAES,0.1183,Concurrente,CifrarRSA,0.0501,,,,,,
Concurrente,CifrarRSA,0.0512,Concurrente,CifrarRSA,0.0544,Concurrente,CifrarRSA,0.0509,,,,,,
Concurrente,CifrarRSA,0.0737,Concurrente,CifrarAES,0.1585,Concurrente,CifrarRSA,0.0534,,,,,,
Concurrente,CifrarRSA,0.0731,Concurrente,CifrarRSA,0.1124,Concurrente,CifrarRSA,0.0574,,,,,,
Concurrente,CifrarRSA,0.1427,Concurrente,CifrarRSA,0.0567,Concurrente,CifrarRSA,0.0545,,,,,,
Concurrente,CifrarRSA,0.0595,Concurrente,VerificarHMAC,0.0312,Concurrente,CifrarRSA,0.0984,,,,,,
Concurrente,CifrarRSA,0.0754,Concurrente,VerificarHMAC,0.0346,Concurrente,CifrarRSA,0.0879,,,,,,
Concurrente,CifrarAES,0.0992,Concurrente,VerificarHMAC,0.0368,Concurrente,CifrarRSA,0.095,,,,,,
Concurrente,CifrarRSA,0.0975,Concurrente,VerificarHMAC,0.0302,Concurrente,CifrarRSA,0.1448,,,,,,
Concurrente,CifrarRSA,0.0601,Concurrente,VerificarHMAC,0.0363,Concurrente,CifrarRSA,0.0734,,,,,,
Concurrente,CifrarAES,0.1147,Concurrente,Firmar,0.3544,Concurrente,CifrarRSA,0.0598,,,,,,
Concurrente,CifrarRSA,0.0657,Concurrente,VerificarHMAC,0.0359,Concurrente,CifrarAES,0.106,,,,,,
Concurrente,CifrarRSA,0.0601,Concurrente,CifrarAES,0.0939,Concurrente,VerificarHMAC,0.0271,,,,,,
Concurrente,VerificarHMAC,0.0317,Concurrente,VerificarHMAC,0.026,Concurrente,CifrarRSA,0.0634,,,,,,
Concurrente,VerificarHMAC,0.0302,Concurrente,CifrarRSA,0.067,Concurrente,CifrarRSA,0.0608,,,,,,
Concurrente,VerificarHMAC,0.0364,Concurrente,VerificarHMAC,0.0356,Concurrente,CifrarRSA,0.0664,,,,,,
Concurrente,VerificarHMAC,0.0298,Concurrente,VerificarHMAC,0.0284,Concurrente,VerificarHMAC,0.0343,,,,,,
Concurrente,VerificarHMAC,0.0288,Concurrente,VerificarHMAC,0.0305,Concurrente,VerificarHMAC,0.0449,,,,,,
Concurrente,VerificarHMAC,0.0286,Concurrente,VerificarHMAC,0.0313,Concurrente,VerificarHMAC,0.0311,,,,,,
Concurrente,VerificarHMAC,0.0332,Concurrente,VerificarHMAC,0.0338,Concurrente,VerificarHMAC,0.0298,,,,,,
Concurrente,VerificarHMAC,0.0264,Concurrente,VerificarHMAC,0.0341,Concurrente,VerificarHMAC,0.0324,,,,,,
Concurrente,VerificarHMAC,0.031,Concurrente,VerificarHMAC,0.0338,Concurrente,VerificarHMAC,0.0321,,,,,,
Concurrente,VerificarHMAC,0.03,Concurrente,VerificarHMAC,0.0297,Concurrente,VerificarHMAC,0.0352,,,,,,
Concurrente,VerificarHMAC,0.0337,Concurrente,VerificarHMAC,0.0325,Concurrente,VerificarHMAC,0.026,,,,,,
Concurrente,VerificarHMAC,0.0246,Concurrente,VerificarHMAC,0.0215,Concurrente,VerificarHMAC,0.0436,,,,,,
Concurrente,VerificarHMAC,0.0329,Concurrente,VerificarHMAC,0.0377,Concurrente,VerificarHMAC,0.0329,,,,,,
Concurrente,VerificarHMAC,0.0298,Concurrente,VerificarHMAC,0.0305,Concurrente,VerificarHMAC,0.0325,,,,,,
Concurrente,VerificarHMAC,0.032,Concurrente,VerificarHMAC,0.0323,Concurrente,VerificarHMAC,0.0334,,,,,,
Concurrente,VerificarHMAC,0.0345,Concurrente,VerificarHMAC,0.071,Concurrente,VerificarHMAC,0.0651,,,,,,
Concurrente,VerificarHMAC,0.034,Concurrente,VerificarHMAC,0.0327,Concurrente,VerificarHMAC,0.0345,,,,,,
Concurrente,VerificarHMAC,0.0341,Concurrente,VerificarHMAC,0.0305,Concurrente,VerificarHMAC,0.0297,,,,,,
Concurrente,VerificarHMAC,0.0693,Concurrente,VerificarHMAC,0.0338,Concurrente,VerificarHMAC,0.0286,,,,,,
Concurrente,VerificarHMAC,0.0679,Concurrente,Firmar,0.4017,Concurrente,VerificarHMAC,0.0367,,,,,,
Concurrente,VerificarHMAC,0.0322,Concurrente,CifrarAES,0.1463,Concurrente,VerificarHMAC,0.0717,,,,,,
